book_number,book_name,cover,authors,press,publish_year,price,score,tags
1834541,柏杨白话版资治通鉴 第一辑,https://img1.doubanio.com/view/subject/s/public/s1691839.jpg,司马光,北岳文艺出版社,2006-7,98.00, ,历史|资治通鉴|柏杨|资治通鉴柏杨版|资治通鉴（第一辑秦风汉雨）（柏杨白话版）|中国历史|司马光|中国
2227757,假若明天来临,https://img9.doubanio.com/view/subject/s/public/s2670804.jpg,[美]西德尼·谢尔顿,漓江出版社,1986-09,2.35, ,西德尼·谢尔顿|小说|美国|犯罪|假若明天来临|外国文学|女性|惊险
3669573,闲话红楼：大观园的后门通梁山,https://img1.doubanio.com/view/subject/s/public/s11273407.jpg,十年砍柴,语文出版社,2009-4,26.00, ,十年砍柴|红楼梦|随笔|读书笔记|杂文|历史|中国古典文学|中国文学
4193861,韩熙载夜宴,https://img9.doubanio.com/view/subject/s/public/s4201944.jpg,:吴蔚,中国民主法制出版社有限公司,2010-1,42.00, ,推理|悬疑|历史|小说|中国|韩熙载夜宴|吴蔚|推理小说
3538497,地狱来鸿(大榔头写给蠹木的抒情书),https://img9.doubanio.com/view/subject/s/public/s4618454.jpg,[英]刘易斯,道聲出版社,,, ,C.S.Lewis|基督教|信仰|宗教|神学|灵修|哲学|英国
1179166,竖笛演奏与教学,https://img9.doubanio.com/view/subject/s/public/s8463165.jpg,:韩中健,南京师大,2003-6,50.00, ,竖笛学习|音乐|竖笛演奏与教学|好想看|recorder
1179168,音乐人类学的视界,https://img1.doubanio.com/view/subject/s/public/s9902969.jpg,:管建华编译,南京师范大学出版社,2004-2,29.00, ,音乐人类学|人类学|音乐|作为文化的音乐|音乐学|民族音乐|音乐人类学的视界|anthropology
1965596,科学与方法,https://img3.doubanio.com/view/subject/s/public/s2573543.jpg,:昂利·彭加勒,商务印书馆,2006-12-1,15.0, ,科学哲学|彭加勒|哲学|科学|方法论|科普|数学|科学的方法
1310233,世界五千年,https://img3.doubanio.com/view/subject/s/public/s9076951.jpg,:段万翰|陈必祥|顾汉松,少年儿童出版社,1991-09-01,72.00, ,历史|世界五千年|童年|儿童读物|科普|小时候的书|启蒙|小时候看的
1441323,摄影之后的摄影,https://img3.doubanio.com/view/subject/s/public/s1458721.jpg,邱志杰,中国人民大学出版社,2005-11,29.8, ,摄影|摄影之后的摄影|邱志杰|艺术|摄影，观念摄影|视觉|后摄影|攝影
