book_name,english_name,author,img,publish,price,score,description
灿烂千阳,A Thousand Splendid Suns,[美] 卡勒德·胡赛尼 ,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg, 上海人民出版社 , 28.00元,8.8,唯有希望与爱可以驱散阴霾
树上的男爵,The Baron in the Trees,[意大利]伊塔洛·卡尔维诺 ,https://img1.doubanio.com/view/subject/s/public/s8972078.jpg, 译林出版社 , 30.00元,9.1,是不是真的只有先与人疏离，才能最终与他们在一起？
邓小平时代,Deng Xiaoping and the Transformation of China,[美] 傅高义 ,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg, 生活·读书·新知三联书店 , 88.00元,9.2,个人命运背后的历史变局
诗经,,孔丘 编订 ,https://img3.doubanio.com/view/subject/s/public/s1979223.jpg, 北京出版社 , 19.90元,9.4,思无邪
台北人,,白先勇 ,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg, 广西师范大学出版社 , 38.00元,8.9,白先勇短篇小说集
人间词话,,王国维 ,https://img1.doubanio.com/view/subject/s/public/s9130587.jpg, 上海古籍出版社 , 9.80元,9.0,以新眼光评旧文学
窗边的小豆豆,窓ぎわのトットちゃん,[日] 黑柳彻子 著 ,https://img3.doubanio.com/view/subject/s/public/s1067911.jpg, 南海出版公司 , 20.00元,8.7,真正懂孩子的教育经
西游记（全二册）,,吴承恩 ,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg, 人民文学出版社 , 47.20元,8.9,神魔皆有人情，精魅亦通世故
悉达多,,[德] 赫尔曼·黑塞 ,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg, 上海人民出版社 , 20.00,9.0,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
永恒的终结,The End of Eternity,[美] 艾萨克·阿西莫夫 ,https://img3.doubanio.com/view/subject/s/public/s29555070.jpg, 江苏凤凰文艺出版社 , 32.00元,9.0,关于时间旅行的终极奥秘和恢宏构想
我们仨,,杨绛 ,https://img3.doubanio.com/view/subject/s/public/s1015872.jpg, 生活·读书·新知三联书店 , 18.80元,8.7,家庭生活回忆录
爱你就像爱生命,,王小波 ,https://img3.doubanio.com/view/subject/s/public/s4661043.jpg, 上海锦绣文章出版社 , 18.00元,8.8,王小波与李银河的两地书
一个叫欧维的男人决定去死,En man som heter Ove,[瑞典] 弗雷德里克·巴克曼 ,https://img3.doubanio.com/view/subject/s/public/s29071620.jpg, 四川文艺出版社 , 35.00元,9.0,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
这些人，那些事,,吴念真 ,https://img3.doubanio.com/view/subject/s/public/s6828981.jpg, 译林出版社 , 28.00元,8.8,平淡叙述下的惊心动魄
道德经精义,,黄元吉 ,https://img3.doubanio.com/view/subject/s/public/s1045431.jpg, 陕西人民出版社 , 4.50元,9.4,中国历史上首部完整的哲学著作
巨人的陨落,Fall of Giants,[英] 肯·福莱特 ,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg, 江苏凤凰文艺出版社 , 129.80元,8.9,五个家族，一场战争
